term,df,months,recent_df,recency,score,topic1,topic2,words,lang
설정,200,27,173,0.865,29.901,cybersecurity,safety_research,1,ko
탐지,262,22,232,0.885,29.848,cybersecurity,safety_research,1,ko
지침,200,28,167,0.835,29.787,guideline,law,1,ko
조건,242,21,227,0.938,29.721,safety_research,frontier,1,ko
보고,213,27,175,0.822,29.633,cybersecurity,frontier,1,ko
의견,185,29,154,0.832,29.61,law,guideline,1,ko
정렬,260,19,251,0.965,29.544,safety_research,frontier,1,ko
증거,168,28,149,0.887,29.53,cybersecurity,safety_research,1,ko
오픈,248,20,234,0.944,29.478,frontier,cybersecurity,1,ko
관점,215,23,195,0.907,29.478,safety_research,agentic_ai,1,ko
포함한,213,24,187,0.878,29.404,law,frontier,1,ko
성과,177,31,141,0.797,29.404,frontier,agentic_ai,1,ko
논문,175,30,143,0.817,29.362,safety_research,agentic_ai,1,ko
있도록,201,28,160,0.796,29.257,frontier,law,1,ko
출력,175,26,155,0.886,29.116,safety_research,frontier,1,ko
구조,226,21,208,0.92,29.115,safety_research,agentic_ai,1,ko
가장,182,27,154,0.846,29.11,frontier,safety_research,1,ko
복잡한,176,31,137,0.778,29.11,frontier,safety_research,1,ko
있지,171,28,145,0.848,29.091,law,frontier,1,ko
인프,241,21,215,0.892,29.075,cybersecurity,frontier,1,ko
프로그램,177,28,147,0.831,29.042,frontier,cybersecurity,1,ko
확보,176,30,139,0.79,29.005,law,norms,1,ko
훈련,173,30,137,0.792,28.94,frontier,safety_research,1,ko
등의,161,29,135,0.839,28.912,frontier,law,1,ko
프로젝트,174,25,155,0.891,28.819,frontier,cybersecurity,1,ko
프롬프트,213,21,196,0.92,28.797,safety_research,frontier,1,ko
활용해,223,21,201,0.901,28.79,cybersecurity,safety_research,1,ko
제한,170,26,148,0.871,28.749,frontier,law,1,ko
신뢰,195,25,163,0.836,28.696,norms,frontier,1,ko
우려,258,21,216,0.837,28.681,frontier,law,1,ko
사전,178,25,155,0.871,28.675,safety_research,frontier,1,ko
점을,198,22,179,0.904,28.601,frontier,safety_research,1,ko
모니터링,223,22,191,0.857,28.595,cybersecurity,frontier,1,ko
외부,203,22,181,0.892,28.569,cybersecurity,frontier,1,ko
교육,225,24,179,0.796,28.553,frontier,law,1,ko
초점,169,26,145,0.858,28.545,frontier,law,1,ko
의무,197,25,161,0.817,28.495,law,guideline,1,ko
품질,180,22,168,0.933,28.47,safety_research,standards,1,ko
고위험,181,25,153,0.845,28.421,law,guideline,1,ko
연구진,186,25,155,0.833,28.406,frontier,cybersecurity,1,ko
가치,177,23,160,0.904,28.377,norms,safety_research,1,ko
대화,219,23,179,0.817,28.35,frontier,safety_research,1,ko
경향,144,32,113,0.785,28.325,frontier,safety_research,1,ko
사이,152,27,131,0.862,28.32,law,frontier,1,ko
메커니즘,158,25,141,0.892,28.305,safety_research,norms,1,ko
피해,177,25,149,0.842,28.252,law,cybersecurity,1,ko
공유,163,28,131,0.804,28.214,safety_research,frontier,1,ko
준수,197,23,167,0.848,28.204,law,guideline,1,ko
응답,182,24,155,0.852,28.194,safety_research,frontier,1,ko
근거,197,21,178,0.904,28.162,law,frontier,1,ko
문서,183,24,155,0.847,28.161,law,frontier,1,ko
최대,222,20,197,0.887,28.149,frontier,law,1,ko
효과,165,25,142,0.861,28.122,safety_research,frontier,1,ko
완화,169,28,132,0.781,28.1,frontier,safety_research,1,ko
차원,177,24,151,0.853,28.063,law,cybersecurity,1,ko
전환,163,23,149,0.914,28.06,frontier,law,1,ko
Language,141,32,109,0.773,28.044,safety_research,frontier,1,en
모두,159,25,138,0.868,28.017,safety_research,frontier,1,ko
있게,152,29,121,0.796,28.006,frontier,law,1,ko
지표,193,20,180,0.933,28.004,safety_research,frontier,1,ko
기술적,169,22,156,0.923,27.995,law,norms,1,ko
등이,189,24,155,0.82,27.97,frontier,law,1,ko
데이터셋,152,27,127,0.836,27.967,safety_research,cybersecurity,1,ko
편향,186,25,149,0.801,27.966,safety_research,law,1,ko
frontier,197,21,175,0.888,27.963,frontier,cybersecurity,1,en
구체적,219,19,200,0.913,27.963,safety_research,guideline,1,ko
실패,170,23,151,0.888,27.952,safety_research,cybersecurity,1,ko
통한,137,31,109,0.796,27.946,safety_research,norms,1,ko
여부,200,21,176,0.88,27.933,law,frontier,1,ko
패턴,154,31,115,0.747,27.921,safety_research,frontier,1,ko
확장,155,26,131,0.845,27.897,frontier,safety_research,1,ko
텍스트,151,26,129,0.854,27.874,safety_research,frontier,1,ko
제안,237,18,216,0.911,27.861,safety_research,law,1,ko
직접,181,21,165,0.912,27.817,frontier,safety_research,1,ko
점수,155,23,142,0.916,27.811,frontier,safety_research,1,ko
자율,150,28,121,0.807,27.797,agentic_ai,cybersecurity,1,ko
예측,164,23,146,0.89,27.784,safety_research,frontier,1,ko
구체적인,188,20,174,0.926,27.775,frontier,law,1,ko
방어,188,20,174,0.926,27.775,cybersecurity,safety_research,1,ko
개인정보,178,23,152,0.854,27.748,law,deepfake_disinfo,1,ko
자동,160,24,139,0.869,27.724,safety_research,frontier,1,ko
Alignment,198,19,185,0.934,27.71,safety_research,frontier,1,en
자체,166,22,150,0.904,27.648,frontier,cybersecurity,1,ko
조직,182,21,163,0.896,27.64,cybersecurity,agentic_ai,1,ko
시사점,181,22,157,0.867,27.64,safety_research,guideline,1,ko
중요한,150,28,119,0.793,27.617,law,cybersecurity,1,ko
개념,119,32,96,0.807,27.543,safety_research,frontier,1,ko
사건,215,18,198,0.921,27.488,frontier,law,1,ko
생태계,158,24,135,0.854,27.469,norms,frontier,1,ko
전반,194,20,172,0.887,27.44,frontier,safety_research,1,ko
제시,149,24,130,0.872,27.386,safety_research,guideline,1,ko
활동,155,23,136,0.877,27.314,cybersecurity,frontier,1,ko
대비,202,18,188,0.931,27.293,safety_research,frontier,1,ko
또는,169,24,137,0.811,27.253,law,frontier,1,ko
공공,167,21,150,0.898,27.219,law,frontier,1,ko
조사,161,22,142,0.882,27.208,frontier,cybersecurity,1,ko
권한,197,18,182,0.924,27.079,agentic_ai,cybersecurity,1,ko
판단,146,24,125,0.856,27.066,safety_research,law,1,ko
인한,144,26,117,0.812,27.064,law,safety_research,1,ko
안전한,142,25,119,0.838,27.01,safety_research,cybersecurity,1,ko
agents,146,23,128,0.877,26.983,agentic_ai,frontier,1,en
않은,135,24,119,0.881,26.964,frontier,safety_research,1,ko
의사결정,179,20,157,0.877,26.904,law,norms,1,ko
모델들,136,28,106,0.779,26.897,frontier,cybersecurity,1,ko
법안,153,23,130,0.85,26.889,law,youth,1,ko
API,157,20,146,0.93,26.88,frontier,agentic_ai,1,en
침해,144,25,118,0.819,26.844,law,frontier,1,ko
업무,167,21,145,0.868,26.84,frontier,cybersecurity,1,ko
유럽연합,135,28,105,0.778,26.835,law,guideline,1,ko
기법,114,31,90,0.789,26.831,safety_research,frontier,1,ko
윤리,124,29,98,0.79,26.805,norms,guideline,1,ko
개인,141,23,123,0.872,26.741,law,frontier,1,ko
Security,177,21,148,0.836,26.731,cybersecurity,frontier,1,en
요약,141,27,109,0.773,26.727,law,safety_research,1,ko
기업들,164,20,147,0.896,26.692,frontier,law,1,ko
최신,125,25,108,0.864,26.648,frontier,cybersecurity,1,ko
격차,161,19,150,0.932,26.601,frontier,norms,1,ko
달러,192,19,164,0.854,26.539,frontier,law,1,ko
등에,132,24,113,0.856,26.522,frontier,law,1,ko
소프트웨어,163,22,134,0.822,26.507,cybersecurity,frontier,1,ko
미래,131,27,103,0.786,26.505,law,norms,1,ko
상호작용,153,21,134,0.876,26.478,agentic_ai,safety_research,1,ko
측면,203,16,192,0.946,26.468,safety_research,frontier,1,ko
포함,132,23,116,0.879,26.468,law,frontier,1,ko
반면,148,22,127,0.858,26.461,frontier,safety_research,1,ko
intelligence,184,19,159,0.864,26.45,norms,law,1,en
다루,150,20,137,0.913,26.436,safety_research,law,1,ko
미치,137,24,114,0.832,26.418,frontier,law,1,ko
입력,127,23,113,0.89,26.396,safety_research,frontier,1,ko
속도,153,19,143,0.935,26.372,frontier,cybersecurity,1,ko
분류,144,22,124,0.861,26.354,law,guideline,1,ko
단일,169,17,163,0.964,26.298,safety_research,cybersecurity,1,ko
통합,166,19,148,0.892,26.268,agentic_ai,safety_research,1,ko
맥락,142,20,131,0.923,26.261,safety_research,frontier,1,ko
집행위원회,144,22,122,0.847,26.181,law,guideline,1,ko
자원,123,25,102,0.829,26.124,frontier,law,1,ko
신뢰할,136,23,114,0.838,26.121,norms,frontier,1,ko
오류,152,20,134,0.882,26.117,cybersecurity,safety_research,1,ko
차이,133,23,112,0.842,26.052,frontier,safety_research,1,ko
영역,149,21,127,0.852,26.049,safety_research,frontier,1,ko
발견,120,26,97,0.808,26.027,cybersecurity,frontier,1,ko
비교,152,18,143,0.941,25.96,safety_research,agentic_ai,1,ko
집행,137,24,109,0.796,25.955,law,youth,1,ko
질문,115,28,89,0.774,25.917,frontier,safety_research,1,ko
자동화,142,21,122,0.859,25.884,cybersecurity,frontier,1,ko
사회,123,23,106,0.862,25.881,norms,law,1,ko
활용한,131,22,113,0.863,25.875,cybersecurity,frontier,1,ko
조정,119,24,101,0.849,25.874,frontier,law,1,ko
표현,152,19,136,0.895,25.857,safety_research,frontier,1,ko
비율,113,24,98,0.867,25.822,frontier,safety_research,1,ko
동향,122,29,88,0.721,25.812,law,cybersecurity,1,ko
사이버보안,169,18,149,0.882,25.788,cybersecurity,frontier,1,ko
과학기술정보통신부,141,28,96,0.681,25.777,cybersecurity,norms,1,ko
알고리즘,128,23,107,0.836,25.773,law,norms,1,ko
동시,155,18,142,0.916,25.767,safety_research,frontier,1,ko
구현,129,20,119,0.922,25.756,guideline,norms,1,ko
경쟁력,118,24,99,0.839,25.709,law,frontier,1,ko
risk,152,19,134,0.882,25.698,frontier,law,1,en
인식,122,22,107,0.877,25.675,frontier,safety_research,1,ko
Framework,153,19,134,0.876,25.662,safety_research,frontier,1,en
필요한,130,21,114,0.877,25.641,frontier,law,1,ko
대형,114,26,91,0.798,25.625,frontier,safety_research,1,ko
사고,136,22,112,0.824,25.59,cybersecurity,frontier,1,ko
처리,122,22,106,0.869,25.576,frontier,agentic_ai,1,ko
Google,195,16,173,0.887,25.568,frontier,cybersecurity,1,en
위반,147,20,125,0.85,25.564,law,frontier,1,ko
요청,126,23,104,0.825,25.561,frontier,cybersecurity,1,ko
소송,162,17,149,0.92,25.556,law,frontier,1,ko
개입,130,21,113,0.869,25.548,safety_research,frontier,1,ko
일정,157,18,140,0.892,25.54,law,frontier,1,ko
챗봇,152,19,132,0.868,25.539,law,youth,1,ko
감사,187,15,177,0.947,25.512,safety_research,law,1,ko
시대,118,23,100,0.847,25.485,agentic_ai,norms,1,ko
다중,122,20,112,0.918,25.411,agentic_ai,safety_research,1,ko
구글,138,19,124,0.899,25.409,frontier,deepfake_disinfo,1,ko
법률,136,20,118,0.868,25.376,law,guideline,1,ko
지역,147,18,133,0.905,25.364,frontier,law,1,ko
제품,123,20,111,0.902,25.27,law,youth,1,ko
회의,116,24,94,0.81,25.266,law,norms,1,ko
Research,144,19,125,0.868,25.262,frontier,safety_research,1,en
간의,116,23,97,0.836,25.259,frontier,safety_research,1,ko
사항,115,26,88,0.765,25.258,frontier,law,1,ko
코딩,121,21,106,0.876,25.256,frontier,cybersecurity,1,ko
규칙,121,21,106,0.876,25.256,safety_research,law,1,ko
유형,111,22,98,0.883,25.245,safety_research,frontier,1,ko
기사,159,18,137,0.862,25.244,frontier,law,1,ko
방법론,110,26,86,0.782,25.23,safety_research,frontier,1,ko
컴퓨팅,124,22,103,0.831,25.199,frontier,sovereign_ai,1,ko
요소,118,21,104,0.881,25.188,frontier,cybersecurity,1,ko
자료,123,23,99,0.805,25.183,frontier,law,1,ko
시나리오,137,18,126,0.92,25.182,frontier,agentic_ai,1,ko
사이버 보안,126,21,107,0.849,25.146,cybersecurity,frontier,2,ko
접근법,101,26,82,0.812,25.144,safety_research,law,1,ko
결정,138,18,126,0.913,25.142,law,frontier,1,ko
Data,136,18,125,0.919,25.138,law,safety_research,1,en
상태,134,18,124,0.925,25.136,safety_research,frontier,1,ko
동안,117,21,103,0.88,25.132,frontier,safety_research,1,ko
가이드라인,115,23,95,0.826,25.091,guideline,law,1,ko
Gemini,151,16,143,0.947,25.017,frontier,safety_research,1,en
합의,116,20,105,0.905,24.997,law,youth,1,ko
전문가들,120,22,99,0.825,24.962,law,cybersecurity,1,ko
reasoning,139,18,124,0.892,24.935,frontier,safety_research,1,en
독립,122,20,107,0.877,24.93,law,frontier,1,ko
EU AI Act,104,23,89,0.856,24.916,law,guideline,3,en
형태,142,18,125,0.88,24.903,safety_research,frontier,1,ko
민간,107,26,82,0.766,24.892,national_security,cybersecurity,1,ko
강력한,121,20,106,0.876,24.876,frontier,cybersecurity,1,ko
제도,100,23,87,0.87,24.875,law,national_security,1,ko
Evaluation,110,24,88,0.8,24.861,safety_research,frontier,1,en
전문가,116,22,96,0.828,24.818,law,frontier,1,ko
수정,116,21,99,0.853,24.77,frontier,cybersecurity,1,ko
제약,130,17,123,0.946,24.757,safety_research,frontier,1,ko
유사한,102,24,84,0.824,24.747,frontier,safety_research,1,ko
인프라,147,17,131,0.891,24.741,frontier,cybersecurity,1,ko
인력,129,18,117,0.907,24.731,law,frontier,1,ko
업데이트,125,22,98,0.784,24.675,safety_research,cybersecurity,1,ko
예정,135,18,119,0.881,24.666,frontier,law,1,ko
오픈소스,124,20,105,0.847,24.658,open_weight,frontier,1,ko
agent,149,16,137,0.919,24.639,agentic_ai,cybersecurity,1,en
측정,118,20,102,0.864,24.612,safety_research,guideline,1,ko
수행,106,26,79,0.745,24.583,frontier,safety_research,1,ko
평균,118,18,110,0.932,24.566,safety_research,frontier,1,ko
세부,102,22,88,0.863,24.562,frontier,law,1,ko
글은,110,20,98,0.891,24.558,law,frontier,1,ko
일부터,115,22,93,0.809,24.548,law,guideline,1,ko
해석,105,31,68,0.648,24.536,safety_research,agentic_ai,1,ko
관계,113,20,99,0.876,24.526,safety_research,law,1,ko
시행,123,20,103,0.837,24.507,law,guideline,1,ko
지식,123,19,107,0.87,24.49,frontier,safety_research,1,ko
않는,121,21,98,0.81,24.471,safety_research,frontier,1,ko
아직,95,24,79,0.832,24.466,frontier,law,1,ko
균형,107,22,89,0.832,24.45,law,safety_research,1,ko
최종,120,19,105,0.875,24.424,law,cybersecurity,1,ko
딥페이크,116,22,92,0.793,24.406,deepfake_disinfo,law,1,ko
평가하,110,21,93,0.845,24.403,safety_research,agentic_ai,1,ko
주제,108,26,78,0.722,24.395,norms,frontier,1,ko
더욱,90,26,72,0.8,24.382,cybersecurity,frontier,1,ko
Governance,149,16,133,0.893,24.334,norms,law,1,en
출시,118,20,99,0.839,24.316,frontier,cybersecurity,1,ko
보상,92,23,79,0.859,24.3,safety_research,cybersecurity,1,ko
아동,133,17,119,0.895,24.29,youth,law,1,ko
주로,113,21,93,0.823,24.279,law,frontier,1,ko
경로,121,17,113,0.934,24.259,safety_research,cybersecurity,1,ko
기간,109,21,91,0.835,24.233,law,guideline,1,ko
책임성,111,19,99,0.892,24.221,norms,law,1,ko
마감일,138,16,126,0.913,24.192,frontier,law,1,ko
금융,105,21,89,0.848,24.19,law,cybersecurity,1,ko
부족,121,17,112,0.926,24.167,frontier,safety_research,1,ko
연구소,98,20,89,0.908,24.154,frontier,agentic_ai,1,ko
연구팀,86,31,60,0.698,24.116,frontier,safety_research,1,ko
효율성,92,22,80,0.87,24.099,frontier,guideline,1,ko
토큰,115,17,108,0.939,24.062,frontier,safety_research,1,ko
도움,98,27,70,0.714,24.062,frontier,law,1,ko
기회,109,22,86,0.789,24.041,norms,frontier,1,ko
artificial,152,16,130,0.855,24.004,law,norms,1,en
경제,135,18,111,0.822,23.98,frontier,law,1,ko
사실,133,17,115,0.865,23.949,law,frontier,1,ko
Large,100,20,88,0.88,23.943,safety_research,frontier,1,en
버전,85,27,65,0.765,23.923,cybersecurity,frontier,1,ko
관한,96,22,80,0.833,23.907,law,guideline,1,ko
연방,130,18,108,0.831,23.895,law,frontier,1,ko
Language Models,99,22,81,0.818,23.891,safety_research,frontier,2,en
제공된,116,18,102,0.879,23.886,frontier,law,1,ko
개월,102,21,85,0.833,23.877,law,frontier,1,ko
까지,114,18,101,0.886,23.874,safety_research,frontier,1,ko
신호,128,15,123,0.961,23.833,safety_research,frontier,1,ko
Open,101,21,84,0.832,23.808,frontier,open_weight,1,en
안전장치,141,15,129,0.915,23.797,safety_research,frontier,1,ko
네트워크,114,18,100,0.877,23.775,cybersecurity,frontier,1,ko
인증,99,20,86,0.869,23.764,cybersecurity,standards,1,ko
정의,109,20,90,0.826,23.764,law,safety_research,1,ko
있고,117,20,93,0.795,23.761,frontier,law,1,ko
최적화,109,17,102,0.936,23.757,safety_research,agentic_ai,1,ko
영상,124,18,104,0.839,23.756,deepfake_disinfo,law,1,ko
일반,102,20,87,0.853,23.739,safety_research,cybersecurity,1,ko
기술 발전,92,22,77,0.837,23.728,law,guideline,2,ko
첨단,97,19,88,0.907,23.704,frontier,cybersecurity,1,ko
수집,96,21,81,0.844,23.686,law,safety_research,1,ko
Cyber,113,17,103,0.912,23.672,cybersecurity,frontier,1,en
가중치,100,19,89,0.89,23.67,open_weight,frontier,1,ko
의료,122,17,107,0.877,23.668,healthcare,law,1,ko
대체,99,20,85,0.859,23.651,safety_research,frontier,1,ko
반도체,109,22,82,0.752,23.608,physical_ai,frontier,1,ko
검색,115,16,108,0.939,23.586,frontier,agentic_ai,1,ko
활용할,94,21,79,0.84,23.54,frontier,cybersecurity,1,ko
조작,108,18,95,0.88,23.534,deepfake_disinfo,agentic_ai,1,ko
분석하고,88,27,63,0.716,23.523,safety_research,law,1,ko
policy,112,17,101,0.902,23.521,law,guideline,1,en
제출,104,19,89,0.856,23.487,law,frontier,1,ko
강화하고,93,20,81,0.871,23.47,cybersecurity,frontier,1,ko
제공하,93,20,81,0.871,23.47,frontier,safety_research,1,ko
Digital,118,16,108,0.915,23.455,law,youth,1,en
미치 영향,99,21,80,0.808,23.437,frontier,law,2,ko
자율적,83,22,71,0.855,23.4,agentic_ai,cybersecurity,1,ko
보여주,87,23,70,0.805,23.388,frontier,safety_research,1,ko
중이,126,19,96,0.762,23.357,frontier,law,1,ko
과학,99,24,71,0.717,23.328,frontier,norms,1,ko
현상,98,19,85,0.867,23.317,safety_research,frontier,1,ko
안보,100,20,82,0.82,23.268,national_security,frontier,1,ko
클라우드,87,21,74,0.851,23.257,frontier,cybersecurity,1,ko
넘어,112,16,103,0.92,23.248,agentic_ai,norms,1,ko
식별,98,21,78,0.796,23.248,law,frontier,1,ko
Code,113,19,90,0.796,23.229,guideline,frontier,1,en
artificial intelligence,133,16,112,0.842,23.225,law,norms,2,en
회사,94,18,86,0.915,23.223,frontier,law,1,ko
구조적,114,15,109,0.956,23.219,safety_research,agentic_ai,1,ko
전략적,103,19,86,0.835,23.207,frontier,national_security,1,ko
일까지,87,22,71,0.816,23.204,law,cybersecurity,1,ko
않고,106,17,95,0.896,23.19,frontier,safety_research,1,ko
체계적,113,17,98,0.867,23.187,safety_research,agentic_ai,1,ko
앤트로픽,107,16,100,0.935,23.184,frontier,cybersecurity,1,ko
agentic,115,15,109,0.948,23.173,agentic_ai,frontier,1,en
불확실성,92,19,81,0.88,23.142,law,safety_research,1,ko
감시,117,16,104,0.889,23.128,national_security,frontier,1,ko
사이버 공격,92,18,84,0.913,23.094,cybersecurity,frontier,2,ko
실시간,104,17,93,0.894,23.075,cybersecurity,agentic_ai,1,ko
피드백,86,24,65,0.756,23.067,safety_research,frontier,1,ko
작성,93,24,67,0.72,23.053,frontier,safety_research,1,ko
지원하,92,20,77,0.837,23.039,frontier,norms,1,ko
금지,108,16,99,0.917,23.039,law,youth,1,ko
GPT-5,122,14,117,0.959,23.03,frontier,cybersecurity,1,en
잠재적,74,28,54,0.73,23.025,frontier,cybersecurity,1,ko
구성,95,17,88,0.926,22.969,safety_research,cybersecurity,1,ko
선택,102,17,91,0.892,22.957,safety_research,frontier,1,ko
무료,80,21,69,0.863,22.956,frontier,law,1,ko
기여,132,13,128,0.97,22.918,safety_research,guideline,1,ko
데이터센터,119,15,108,0.908,22.911,law,frontier,1,ko
해킹,90,17,85,0.944,22.889,cybersecurity,frontier,1,ko
공식,90,18,81,0.9,22.845,frontier,law,1,ko
learning,81,22,66,0.815,22.824,safety_research,frontier,1,en
Public,80,21,68,0.85,22.82,frontier,law,1,en
최소,93,18,82,0.882,22.814,law,frontier,1,ko
대신,94,17,86,0.915,22.796,safety_research,frontier,1,ko
미칠,80,20,70,0.875,22.744,law,agentic_ai,1,ko
배치,113,16,98,0.867,22.729,safety_research,frontier,1,ko
페이지,100,16,92,0.92,22.699,frontier,cybersecurity,1,ko
행위,91,18,80,0.879,22.678,law,frontier,1,ko
특성,82,23,63,0.768,22.675,safety_research,agentic_ai,1,ko
Systems,104,17,89,0.856,22.661,agentic_ai,safety_research,1,en
인터넷,89,18,79,0.888,22.658,cybersecurity,frontier,1,ko
고급,89,23,65,0.73,22.656,frontier,cybersecurity,1,ko
성공률,102,17,88,0.863,22.642,safety_research,cybersecurity,1,ko
경험,87,18,78,0.897,22.639,frontier,norms,1,ko
노동,80,20,69,0.863,22.611,frontier,law,1,ko
시점,98,17,86,0.878,22.606,frontier,law,1,ko
중요성,83,22,65,0.783,22.597,frontier,cybersecurity,1,ko
계약,99,16,90,0.909,22.536,law,national_security,1,ko
않아,93,17,83,0.892,22.508,frontier,law,1,ko
프라이버시,108,17,89,0.824,22.499,law,norms,1,ko
년간,85,18,76,0.894,22.497,frontier,law,1,ko
지속,83,19,72,0.867,22.485,frontier,norms,1,ko
발생할,71,23,58,0.817,22.474,safety_research,agentic_ai,1,ko
일반화,112,15,100,0.893,22.469,safety_research,guideline,1,ko
제어,96,16,88,0.917,22.466,safety_research,agentic_ai,1,ko
점이,96,16,88,0.917,22.466,safety_research,frontier,1,ko
유지,79,21,65,0.823,22.461,frontier,safety_research,1,ko
효과적,89,19,74,0.831,22.447,frontier,safety_research,1,ko
